ID_ALOJAMIENTO,TITULO_ALOJAMIENTO,TIPO_ALOJAMIENTO,ESPACIO_ALOJAMIENTO,UBICACION,PRECIO_USD,MAX_HUESPEDES,CANTIDAD_HABITACIONES,CANTIDAD_CAMAS,CANTIDAD_BAÑOS,ES_SUPER_ANFITRION,CANTIDAD_EVALUACIONES,CALIFICACION_GENERAL,CALIFICACION_LIMPIEZA,CALIFICACION_VERACIDAD,CALIFICACION_LLEGADA,CALIFICACION_COMUNICACION,CALIFICACION_UBICACION,CALIFICACION_CALIDAD_PRECIO,FLAG_RESERV_INMEDIATA,FLAG_LLEGADA_AUTONOMA,FLAG_CANCELAC_GRATUITA,FLAG_ACEPT_MASCOTAS
1.11613E+18,Casita Melones,Apartamento,Alojamiento entero,Bayahibe,48,4,2,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,1
9.92297E+17,Bed & Free Breakfast in Colonial City SDQ,Habitación,Habitación,Santo Domingo,65,No encontrado,No encontrado,1,No encontrado,0,5,4.2,4.6,4.2,4.6,4.8,4,4,1,0,0,1
46279271,Sugar Hill - Sosua,Apartamento,Alojamiento entero,Puerto Plata,600,12,6,6,6,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,1
9.75319E+17,Barranca Oeste #8 Casa De Campo,Apartamento,Alojamiento entero,La Romana,2500,14,7,9,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,0
7.14321E+17,"Apartamento encantador con balcón, cerca de playas",Apartamento,Alojamiento entero,Puerto Plata,39,4,2,No encontrado,1,0,No encontrado,No encontrado,4.8,4.8,4.9,5,4.8,4.8,0,1,1,0
7.71133E+17,Impresionante vista al mar en Juan Dolio. Piscina de 2 dormitorios. 4 dormitorios.,Apartamento,Alojamiento entero,Guayacanes,110,6,2,3,2,1,55,4.87,4.9,4.9,4.8,4.9,4.5,4.9,1,1,0,0
9.06792E+17,Condo cerca de playa Juan Dolio,Apartotel,Alojamiento entero,Juan Dolio,41,2,1,2,1,0,32,4.69,4.9,4.9,4.9,4.9,4.8,4.9,0,0,1,0
8.04488E+17,Sosúa,Apartamento,Alojamiento entero,Puerto Plata,148,5,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
1.05117E+18,Ubicación de 5 estrellas “Explora con comodidad”,Apartamento,Habitación,Santo Domingo,29,2,1,1,1,0,No encontrado,No encontrado,4.1,4,4.5,4.3,4.8,4.3,1,1,1,1
1.1377E+18,Amoroso para 2,Apartamento,Alojamiento entero,Samaná,30,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
1.16436E+18,Encuentro surf appartement,Casa,Alojamiento entero,Puerto Plata,56,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
9.2316E+17,Apartamento Cómodo y hermoso.,Hotel,Alojamiento entero,Puerto Plata,40,2,No encontrado,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
9.39764E+17,Un palacio en un residencial.,Villa,Alojamiento entero,Santo Domingo,60,4,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
19083959,Suite en Puerto Plata,Apartamento,Alojamiento entero,Puerto Plata,150,4,2,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,0
8.08002E+17,Casa Azul en la Zona Colonial,Apartamento,Alojamiento entero,Santo Domingo,110,4,2,No encontrado,2,0,9,4.11,4.8,4.6,4.4,4.6,4.8,4.4,0,0,0,1
1.14494E+18,¡Hermoso apartamento!,Apartamento,Alojamiento entero,Bayahibe,64,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
8.87114E+17,Auténtico bungalow en Capana,Apartamento,Alojamiento entero,Punta Cana,250,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
22230889,Apartamento con espectaculares vistas al mar,Alojamiento,Alojamiento entero,Juan Dolio,150,5,2,3,2,0,6,5,4.8,4.8,5,4.8,4.7,5,0,1,1,0
8.60805E+17,"B101 internet rápido en el primer piso, aire acondicionado",Casa,Alojamiento entero,Puerto Plata,30,2,1,1,1,1,5,4.8,5,4.6,5,5,5,4.8,0,1,0,0
9.95013E+17,Enorme| Lux| 3Hab| Condominio frente Playa| wifi rápido,Apartotel,Alojamiento entero,Juan Dolio,224,8,3,2,3,0,11,4.82,4.6,4.6,4.8,4.6,4.9,4.7,1,1,1,0
5.5968E+17,Casa adosada agradable con terraza,Apartamento,Alojamiento entero,Santo Domingo,62,4,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
44771717,Fascinante y espacioso apartamento en Altos,Apartamento,Alojamiento entero,La Romana,720,6,2,3,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
23167374,Apartamento Estándar Edificio CINDA FOUNDATION,Apartamento,Alojamiento entero,Bayahibe,55,11,1,3,1,0,14,4.29,4.4,3.9,4.6,4.5,4.3,4.2,0,0,1,1
30468377,¡Brillante estudio en el centro de Cabarete!,Apartamento,Alojamiento entero,Cabarete,70,2,No encontrado,1,1,0,6,5,5,5,5,5,5,5,0,1,0,0
9.19498E+17,No encontrado,Hostal,Alojamiento entero,Puerto Plata,385,4,2,2,3,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
34567171,Apartamento de lujo frente a la playa @Emotion excelente precio,Apartamento,Habitación,Puerto Plata,191,6,2,3,2,0,106,4.84,4.8,4.9,4.9,4.9,5,4.9,1,0,1,0
8.47016E+17,Casita Tranquilidad,Hostal,Habitación,Puerto Plata,25,No encontrado,No encontrado,1,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
9.87682E+17,Ático en la azotea * Playa privada VIP *,Apartotel,Alojamiento entero,Punta Cana,129,4,2,2,2,0,3,5,5,5,5,5,5,5,1,1,1,0
44799433,Villa privada de lujo con jacuzzi Casa Linda Sosua,Apartamento,Alojamiento entero,Puerto Plata,249,8,4,4,No encontrado,0,66,4.7,4.8,4.8,4.8,4.8,4.8,4.8,0,0,1,0
6.12343E+17,7404 Apartamento Suite Presidencial Be Live Hamaca,Alojamiento,Alojamiento entero,Santo Domingo,135,4,2,3,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
9.01464E+17,Sosua Ocean Village,Alojamiento,Alojamiento entero,Puerto Plata,155,6,2,3,2,0,27,4.96,5,5,4.9,5,4.8,4.9,1,0,0,1
1.15307E+18,Estudio con desayuno,Apartamento,Alojamiento entero,Juan Dolio,49,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,1
9.36154E+17,Apartamento Frente a la Playa,Apartotel,Alojamiento entero,Santo Domingo,170,7,2,3,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,0
48440121,MR | Villa Cielo | Casa de Campo | Ref: 492,Apartotel,Alojamiento entero,La Romana,690,10,4,7,No encontrado,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
7.36231E+17,"Villa de playa Esmeralda con piscina privada, barbacoa yservicio delimpieza.",Apartamento,Alojamiento entero,Punta Cana,299,6,3,3,3,0,26,4.54,4.5,4.7,4.7,4.9,4.6,4.5,1,0,0,0
6.09496E+17,LARIMAR 1 CA,Apartotel,Alojamiento entero,Bayahibe,No encontrado,4,1,No encontrado,1,0,No encontrado,No encontrado,4.8,5,5,5,5,5,0,0,0,0
9.78908E+17,Villa en Juan Dolio con Piscina,Apartotel,Alojamiento entero,Juan Dolio,459,10,4,4,3,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
8.40743E+17,"Apartamento con Vistas al mar, puerto y la ciudad",Apartamento,Alojamiento entero,Puerto Plata,55,4,2,2,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
1.02333E+18,Apartamento Delux de 2 habitaciones/ Central DE LA CRUZ,Casa,Alojamiento entero,Puerto Plata,99,4,2,2,2,1,8,5,5,5,5,5,5,5,1,0,1,0
27494823,l Apartamento Confort 50 mt playa,Apartamento,Habitación,Santo Domingo,65,4,1,2,1,0,4,3.5,3.2,3.8,3.5,3.5,3.8,3.8,1,0,0,1
9.88702E+17,Villa todo incluido VIP Royal y Crown,Casa,Alojamiento entero,Puerto Plata,151,12,4,No encontrado,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
1.04635E+18,Villa Boca Paraíso,Apartotel,Alojamiento entero,Santo Domingo,96,6,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
32524026,Habitación Confort 50 mt playa HOTEL AZZURRA DESAYUNO,Apartamento,Habitación,Santo Domingo,45,2,1,1,1,0,34,4.41,4.5,4.6,4.8,4.8,4.8,4.7,1,0,1,1
8.51388E+17,El hermoso lugar de Norah_lee,Apartamento,Alojamiento entero,Santo Domingo,45,4,2,No encontrado,2,0,3,5,5,5,5,5,5,5,1,0,1,0
14237126,CASA MILO a 200 metros de la playa,Hostal,Alojamiento entero,Puerto Plata,25,2,1,1,1,1,108,4.79,4.8,4.8,4.9,4.9,4.7,4.8,0,0,1,0
345990,"Seawinds, lujoso ático frente a la playa 3 BR",Casa,Alojamiento entero,Puerto Plata,No encontrado,12,3,7,3,0,No encontrado,No encontrado,4.8,4.9,4.8,4.8,5,4.8,0,0,0,1
9.47028E+17,Villa 921 Casa Linda,Apartamento,Alojamiento entero,Puerto Plata,172,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,1
1.02379E+18,KiteBeach Oceanfront 2nd Floor Junior Suite,Apartamento,Alojamiento entero,Puerto Plata,88,4,1,2,1,1,9,4.89,5,5,5,5,5,5,1,1,0,0
3307267,Casa Mango-Homeawayfrom Home studio,Casa,Alojamiento entero,Puerto Plata,13,2,No encontrado,No encontrado,1,0,62,4.74,4.5,4.8,4.7,4.8,4.6,4.8,0,0,0,0
9.84791E+17,Casa Del Palma - Serene Oceanside Paradise,Casa,Alojamiento entero,Puerto Plata,No encontrado,2,1,No encontrado,1,0,6,5,5,5,5,5,5,5,0,0,0,0
1.03048E+18,Apartaestudio en Sosúa,Apartamento,Alojamiento entero,Puerto Plata,380,2,1,No encontrado,1,0,4,5,5,4.5,4.8,5,5,4.5,1,1,0,1
7.32729E+17,"Departamento paradisíaco frente a la playa, Maravilla Juan Dolio",Hostal,Alojamiento entero,Juan Dolio,176,6,2,No encontrado,2,0,17,4.76,4.7,4.8,4.8,4.9,4.8,4.8,1,1,1,0
8.51785E+17,Perla Marina Casa de Suiza Apartemento 2,Apartotel,Alojamiento entero,Puerto Plata,48,4,2,No encontrado,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,1
9.49208E+17,tranquilidad y paz al hospedarse,Apartamento,Alojamiento entero,Santo Domingo,96,4,2,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
8.2482E+17,Caribe Aparthotel 2C,Apartamento,Alojamiento entero,Puerto Plata,21,2,1,1,1,0,6,4.83,5,5,5,5,4.8,5,1,1,0,0
